# BRON: KONINKLIJK NEDERLANDS METEOROLOGISCH INSTITUUT (KNMI)
# Opmerking: door stationsverplaatsingen en veranderingen in waarneemmethodieken zijn deze tijdreeksen van dagwaarden mogelijk inhomogeen! Dat betekent dat deze reeks van gemeten waarden niet geschikt is voor trendanalyse. Voor studies naar klimaatverandering verwijzen we naar de gehomogeniseerde reeks maandtemperaturen van De Bilt <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/gehomogeniseerde-reeks-maandtemperaturen-de-bilt> of de Centraal Nederland Temperatuur <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/centraal-nederland-temperatuur-cnt>.
# 
# 
# STN      LON(east)   LAT(north)     ALT(m)  NAME
# 249:         4.979       52.644      -2.40  BERKHOUT
# 270:         5.752       53.224       1.20  LEEUWARDEN
# 344:         4.447       51.962      -4.30  ROTTERDAM
# 380:         5.762       50.906     114.30  MAASTRICHT
# 
# YYYYMMDD = Datum (YYYY=jaar MM=maand DD=dag); 
# TG       = Etmaalgemiddelde temperatuur (in 0.1 graden Celsius); 
# 
# STN,YYYYMMDD,   TG
# 
  249,20100101,  -31
  249,20100102,  -17
  249,20100103,  -92
  249,20100104,  -13
  249,20100105,    2
  249,20100106,  -25
  249,20100107,  -82
  249,20100108,  -74
  249,20100109,  -20
  249,20100110,   -2
  249,20100111,   -6
  249,20100112,  -21
  249,20100113,  -38
  249,20100114,   -3
  249,20100115,    6
  249,20100116,    7
  249,20100117,   22
  249,20100118,   33
  249,20100119,   28
  249,20100120,   10
  249,20100121,   10
  249,20100122,    2
  249,20100123,   -3
  249,20100124,  -19
  249,20100125,  -59
  249,20100126, -110
  249,20100127,  -16
  249,20100128,   30
  249,20100129,   20
  249,20100130,   -9
  249,20100131,   14
  249,20100201,    0
  249,20100202,   28
  249,20100203,   19
  249,20100204,   48
  249,20100205,   29
  249,20100206,   18
  249,20100207,    1
  249,20100208,  -42
  249,20100209,  -31
  249,20100210,  -23
  249,20100211,  -22
  249,20100212,  -28
  249,20100213,  -18
  249,20100214,  -23
  249,20100215,  -37
  249,20100216,  -11
  249,20100217,  -11
  249,20100218,   18
  249,20100219,   31
  249,20100220,   10
  249,20100221,    0
  249,20100222,   19
